date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:40	364/364	U-----	200	untouched ('OK')	text/plain	date:Fri,%2005%20Jul%202024%2022:44:13%20GMT	https://abogadaangel.com/robots.txt		(from )
14:31:40	323105/323105	U-----	200	untouched ('OK')	text/html	etag:W/%229434bb5435c8553cd3b1749f48b20dcf%22	https://abogadaangel.com/	C:/My%20Web%20Sites/smartpathtoamerica/abogadaangel.com/index.html	(from )
14:31:41	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Sat,%2006%20Jul%202024%2018:31:39%20GMT	http://static1.squarespace.com/static/626c43dcb8fc365653a662d5/t/62a380a802f2057eeb916065/1654882473012/Spanish_Full+Color_Transparent.png?format=1500w	C:/My%20Web%20Sites/smartpathtoamerica/static1.squarespace.com/static/626c43dcb8fc365653a662d5/t/62a380a802f2057eeb916065/1654882473012/Spanish_Full+Color_Transparent.026f7.delayed	(from https://abogadaangel.com/)
14:31:41	16402/16402	U-----	200	untouched ('')	text/javascript	date:Sat,%2006%20Jul%202024%2017:37:46%20GMT	http://use.typekit.net/ik/-2f8Zd21i_ZhQyP5NwTxaPkvOu_XOUSM62kujrrO1aqfelX2fFHN4UJLFRbh52jhWDjkFcwXwhsRjRycjDwhFQjuwhIhFR4qFs7WMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0ShBtdagGdho8OW4uj1qlwRycFfoDSWmyScmDSeBRZPoRdhXCHKoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOeBKdhiyZeBydci8dfoRdhXCjAFu-WsoShFGZAsude80ZkoRdhXCjAFu-WsoShFGZAsude80Zko0ZWbCjWw0dA9CdeNRjAUGdaFXOYFypeN3-eN0ZPukiA4oOQJtZRb0SaBujW48Sagyjh90jhNlOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiaiaOcBKdhiyZeBydci8dfoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1Oco8ifUaiaS0jWw0dA9CiaiaO1FypeN3-eN0ZPukiA4oOQJtZRb0SaBujW48Sagyjh90jhNlOYiaikoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlJ6TyZeN0-WwlihmKH6qJN8bbMg6IJMHbMZhlrZbe.js	C:/My%20Web%20Sites/smartpathtoamerica/use.typekit.net/ik/-2f8Zd21i_ZhQyP5NwTxaPkvOu_XOUSM62kujrrO1aqfelX2fFHN4UJLFRbh52jhWDjkFcwXwhsRjRycjDwhFQjuwhIhFR4qFs7WMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0ShBtda	(from https://abogadaangel.com/)
14:31:41	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2006%20Jul%202024%2018:31:40%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/smartpathtoamerica/www.googletagmanager.com/gtm.35445.delayed	(from https://abogadaangel.com/)
14:31:42	88911/88911	U-----	200	untouched ('')	image/png	etag:CLqDm861o/gCEAE=	https://images.squarespace-cdn.com/content/626c43dcb8fc365653a662d5/22786509-c7de-4a96-9cb9-0f742ea41821/Spanish_Full+Color_Transparent.png?format=1500w&content-type=image%2Fpng	C:/My%20Web%20Sites/smartpathtoamerica/images.squarespace-cdn.com/content/626c43dcb8fc365653a662d5/22786509-c7de-4a96-9cb9-0f742ea41821/Spanish_Full+Color_Transparent2acd.png	(from https://abogadaangel.com/)
14:31:42	42387/42387	U-----	200	untouched ('')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/smartpathtoamerica/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://abogadaangel.com/)
14:31:42	117609/117609	U-----	200	untouched ('')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/smartpathtoamerica/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://abogadaangel.com/)
14:31:42	44883/44883	U-----	200	untouched ('')	text/javascript	etag:%22640213097f6c5ea58676fff994b4065a%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-aeffec8ab92bbc046611-min.en-US.js	C:/My%20Web%20Sites/smartpathtoamerica/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-aeffec8ab92bbc046611-min.en-US.js	(from https://abogadaangel.com/)
14:31:43	1196455/1196455	U-----	200	untouched ('')	text/javascript	etag:%22fbe43b1f7f944c9fde759ab090f61c42%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	C:/My%20Web%20Sites/smartpathtoamerica/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	(from https://abogadaangel.com/)
