date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:12	364/364	------	200	untouched ('OK')	text/plain	date:Fri,%2005%20Jul%202024%2022:44:13%20GMT	https://abogadaangel.com/robots.txt		(from )
13:40:12	323105/323105	------	200	untouched ('OK')	text/html	etag:W/%229434bb5435c8553cd3b1749f48b20dcf%22	https://abogadaangel.com/	C:/My%20Web%20Sites/smartpathtoamerica/abogadaangel.com/index.html	(from )
13:40:12	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20Jul%202024%2017:37:43%20GMT	http://static1.squarespace.com/static/626c43dcb8fc365653a662d5/t/62a380a802f2057eeb916065/1654882473012/Spanish_Full+Color_Transparent.png?format=1500w	C:/My%20Web%20Sites/smartpathtoamerica/static1.squarespace.com/static/626c43dcb8fc365653a662d5/t/62a380a802f2057eeb916065/1654882473012/Spanish_Full+Color_Transparent.026f7.delayed	(from https://abogadaangel.com/)
13:40:12	88911/88911	------	200	untouched ('')	image/png	etag:CLqDm861o/gCEAE=	https://images.squarespace-cdn.com/content/626c43dcb8fc365653a662d5/22786509-c7de-4a96-9cb9-0f742ea41821/Spanish_Full+Color_Transparent.png?format=1500w&content-type=image%2Fpng	C:/My%20Web%20Sites/smartpathtoamerica/images.squarespace-cdn.com/content/626c43dcb8fc365653a662d5/22786509-c7de-4a96-9cb9-0f742ea41821/Spanish_Full+Color_Transparent2acd.png	(from https://abogadaangel.com/)
13:40:12	16402/16402	------	200	untouched ('')	text/javascript	date:Sat,%2006%20Jul%202024%2017:37:46%20GMT	http://use.typekit.net/ik/-2f8Zd21i_ZhQyP5NwTxaPkvOu_XOUSM62kujrrO1aqfelX2fFHN4UJLFRbh52jhWDjkFcwXwhsRjRycjDwhFQjuwhIhFR4qFs7WMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0ShBtdagGdho8OW4uj1qlwRycFfoDSWmyScmDSeBRZPoRdhXCHKoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOeBKdhiyZeBydci8dfoRdhXCjAFu-WsoShFGZAsude80ZkoRdhXCjAFu-WsoShFGZAsude80Zko0ZWbCjWw0dA9CdeNRjAUGdaFXOYFypeN3-eN0ZPukiA4oOQJtZRb0SaBujW48Sagyjh90jhNlOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiaiaOcBKdhiyZeBydci8dfoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1Oco8ifUaiaS0jWw0dA9CiaiaO1FypeN3-eN0ZPukiA4oOQJtZRb0SaBujW48Sagyjh90jhNlOYiaikoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlJ6TyZeN0-WwlihmKH6qJN8bbMg6IJMHbMZhlrZbe.js	C:/My%20Web%20Sites/smartpathtoamerica/use.typekit.net/ik/-2f8Zd21i_ZhQyP5NwTxaPkvOu_XOUSM62kujrrO1aqfelX2fFHN4UJLFRbh52jhWDjkFcwXwhsRjRycjDwhFQjuwhIhFR4qFs7WMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0ShBtda	(from https://abogadaangel.com/)
13:40:12	42387/42387	------	200	untouched ('')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/smartpathtoamerica/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://abogadaangel.com/)
13:40:12	117609/117609	------	200	untouched ('')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/smartpathtoamerica/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://abogadaangel.com/)
13:40:12	44883/44883	------	200	untouched ('')	text/javascript	etag:%22640213097f6c5ea58676fff994b4065a%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-aeffec8ab92bbc046611-min.en-US.js	C:/My%20Web%20Sites/smartpathtoamerica/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-aeffec8ab92bbc046611-min.en-US.js	(from https://abogadaangel.com/)
13:40:12	41137/41137	---M-Z	200	added ('OK')	text/javascript	etag:%2225320929e3c2487c9b2d53f89695d898%22	http://assets.squarespace.com/universal/scripts-compressed/performance-fa84e5928d85cf629ccc-min.en-US.js	C:/My%20Web%20Sites/smartpathtoamerica/assets.squarespace.com/universal/scripts-compressed/performance-fa84e5928d85cf629ccc-min.en-US.js	(from https://abogadaangel.com/)
13:40:12	90771/90771	------	200	untouched ('')	text/javascript	etag:%22b4a755c7e39d57314f0f0e17de3a6f69%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-15305921bb94c505cd92-min.en-US.js	C:/My%20Web%20Sites/smartpathtoamerica/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-15305921bb94c505cd92-min.en-US.js	(from https://abogadaangel.com/)
